material_id,composition,log_sigma
0,Li3 Cl1 O3.5,-10.120774173736573
1,Li3 B0.5 Se1 C0.5 N0.5 F2,-5.912536478042602
2,Li3 B0.75 Te1 Cl0.25 O1 F3,-6.589658737182617
3,Na3 Al0.875 S1 I0.125 F3.5,-3.565520453453064
4,Na3 Al0.75 S1 I0.25 F3,-3.838195824623108
5,Na3 Al0.625 S1 I0.375 F2.5,-4.047088146209717
6,Na3 Al0.375 S1 F2.125,-6.970348739624024
7,Li3 B0.875 Br0.125 O1 F3.5,-3.31953821182251
8,Li3 B0.5 H1 N0.5 O1 F2,-5.105367612838745
9,Na3 B0.875 I0.125 O1 F3.5,-3.652662205696106
10,Na3 B0.75 I0.25 O1 F3,-4.028558468818664
11,Na3 Al0.5 C0.5 N0.5 O1 F2,-6.575933504104614
12,Li3 B0.5 H2 I0.5 O3,-3.914968752861023
13,Na2 Al0.875 H1 I0.125 O1 F3.5,-3.7302228212356567
14,Na2 Al0.75 H1 I0.25 O1 F3,-4.135664606094361
15,Na2 Al0.625 H1 I0.375 O1 F2.5,-4.521765995025635
16,Na2 Al0.5 H1 I0.5 O1 F2,-4.834197664260865
17,Na2 Al0.375 H1 I0.625 O1 F1.5,-4.992357063293457
18,Li3 B0.875 Te1 F3.625,-7.4666321754455565
19,Li3 Te1 Cl1 O3,-10.813507652282714
20,Li2 H1 I0.25 O2 F0.75,-3.9061803102493284
21,Li3 B0.5 I0.5 O1 F2,-4.7384809970855715
22,K2 Al0.875 H1 I0.125 O1 F3.5,-3.5907862424850463
23,K2 Al0.75 H1 I0.25 O1 F3,-3.924530100822449
24,K2 Al0.875 H1 Br0.125 O1 F3.5,-3.3698916912078856
25,K2 Al0.75 H1 Br0.25 O1 F3,-3.7095855236053468
26,K2 Al0.625 H1 Br0.375 O1 F2.5,-3.97403028011322
27,Na2 Al0.375 H1 Cl1.5 O1 F0.625,-6.5354328632354735
28,Li3 C0.5 N0.5 Cl0.5 O3,-6.210623264312744
29,Li3 Se1 Cl1 O4,-10.23638391494751
30,Li2 Al0.25 B0.75 H1 Cl1 O1 F3,-5.46663990020752
31,Li2 H1 I0.125 O1 F0.875,-3.560207557678223
32,Li2 H1 I0.25 O1 F0.75,-4.087831211090088
33,Li2 H1 I0.375 O1 F0.625,-4.59202880859375
34,Li2 H1 I0.5 O1 F0.5,-4.952868700027466
35,Li2 H1 I0.625 O1 F0.375,-5.022774600982666
36,Na2 Al0.125 B0.875 H1 Cl0.5 O1 F3.5,-5.2767445087432865
37,Li3 B0.5 H2 Cl0.5 O3,-4.833308672904968
38,Na3 B0.875 Br0.125 O1 F3.5,-3.3393911361694335
39,Na3 B0.75 Br0.25 O1 F3,-3.6392641067504883
40,Li3 Cl1 O4,-10.066265106201172
41,Li3 B1 Cl0.5 O1 F3.5,-6.745418071746826
42,Li3 C0.625 S1 N0.625 Cl0.375,-3.690175271034241
43,Li3 C0.5 S1 N0.5 Cl0.5,-4.312132263183594
44,Li3 C0.875 S1 N0.875 F0.125,-3.0477244377136232
45,Li3 C0.75 S1 N0.75 Cl0.25,-3.1337788820266725
46,Li3 C0.625 S1 Br0.375 N0.625,-3.816786789894104
47,Li3 C0.875 S1 N0.875 Cl0.125,-2.7030269622802736
48,Li3 C0.75 S1 Br0.25 N0.75,-3.3549438953399657
49,Na3 B0.875 Cl0.125 O1 F3.5,-5.5681798458099365
50,Na3 B0.75 Cl0.25 O1 F3,-6.133952331542969
51,Na3 Al0.25 B0.75 Cl1 O1 F3,-6.358638954162598
52,Na3 Al0.125 B0.875 Cl0.5 O1 F3.5,-6.242714881896973
53,Li3 B1 Te1 F4,-7.563549661636353
54,Li2 B0.125 H1 O1 F1.375,-4.7442646503448485
55,K3 Al1 O1 F4,-7.863537979125977
56,K3 Al0.875 I0.125 O1 F3.5,-3.6358233451843263
57,K3 Al0.875 O1 F3.625,-7.789444828033448
58,K3 Al0.75 O1 F3.25,-7.7188307762146
59,K3 Al0.75 I0.25 O1 F3,-3.922162342071533
60,Na2 Al0.125 B0.875 H1 O1 F4,-5.661036109924316
61,Na2 Al0.375 B0.625 H1 O1 F4,-5.703257465362549
62,Na2 Al0.25 B0.75 H1 O1 F4,-5.625376415252686
63,Li2 B0.25 H1 O1 F1.75,-5.418963861465454
64,Li2 Al0.5 B0.5 H1 O1 F4,-5.7982316493988035
65,Na3 B1 Cl0.5 O1 F3.5,-6.764513635635376
66,Na2 Al0.5 B0.5 H1 O1 F4,-5.85009241104126
67,Li3 B0.625 O1 F2.875,-7.303699779510498
68,Li3 B0.875 O1 F3.625,-7.501177787780762
69,Li3 B1 O1 F4,-7.567663049697876
70,Na3 Al0.125 B0.875 O1 F4,-6.77825961112976
71,Na3 Al0.25 B0.75 O1 F4,-6.744163560867309
72,Li2 H1 Br0.5 O1 F0.5,-4.276005697250366
73,Li2 H1 Br0.625 O1 F0.375,-4.281299448013305
74,Li2 H1 Br0.75 O1 F0.25,-4.113732075691223
75,Li2 H1 Br0.75 Cl0.25 O1,-3.6109068393707275
76,Li2 H1 Br0.125 Cl0.875 O1,-3.3212838411331176
77,Li3 B0.75 O1 F3.25,-7.413782596588135
78,Li3 S1 Cl1 O4,-7.094637727737426
79,Li3 B0.125 Cl1.375 O1,-6.391227054595947
