material_id,composition,log_sigma
47,Li3 C0.875 S1 N0.875 Cl0.125,-2.711760377883911
44,Li3 C0.875 S1 N0.875 F0.125,-3.200178050994873
45,Li3 C0.75 S1 N0.75 Cl0.25,-3.20189745426178
76,Li2 H1 Br0.125 Cl0.875 O1,-3.264298605918884
48,Li3 C0.75 S1 Br0.25 N0.75,-3.268498253822327
7,Li3 B0.875 Br0.125 O1 F3.5,-3.453975462913513
38,Na3 B0.875 Br0.125 O1 F3.5,-3.51275954246521
31,Li2 H1 I0.125 O1 F0.875,-3.520170712471008
24,K2 Al0.875 H1 Br0.125 O1 F3.5,-3.5250604152679443
75,Li2 H1 Br0.75 Cl0.25 O1,-3.568090009689331
3,Na3 Al0.875 S1 I0.125 F3.5,-3.6267285346984863
22,K2 Al0.875 H1 I0.125 O1 F3.5,-3.6703513145446776
9,Na3 B0.875 I0.125 O1 F3.5,-3.6725433349609373
25,K2 Al0.75 H1 Br0.25 O1 F3,-3.7700373411178587
39,Na3 B0.75 Br0.25 O1 F3,-3.7878067016601564
