formula,X,B,A,A_w,A_d,A_dw,composition
Li3OF,Li,O,F,1.0,,,Li3 O1 F1
Li3OF0.95(AlH4)0.05,Li,O,F,0.95,AlH4,0.05,Li3 Al0.05 H0.2 O1 F0.95
Li3OF0.9(AlH4)0.1,Li,O,F,0.9,AlH4,0.1,Li3 Al0.1 H0.4 O1 F0.9
Li3OF0.85(AlH4)0.15,Li,O,F,0.85,AlH4,0.15,Li3 Al0.15 H0.6 O1 F0.85
Li3OF0.8(AlH4)0.2,Li,O,F,0.8,AlH4,0.2,Li3 Al0.2 H0.8 O1 F0.8
Li3OF0.75(AlH4)0.25,Li,O,F,0.75,AlH4,0.25,Li3 Al0.25 H1 O1 F0.75
Li3OF0.7(AlH4)0.3,Li,O,F,0.7,AlH4,0.3,Li3 Al0.3 H1.2 O1 F0.7
Li3OF0.65(AlH4)0.35,Li,O,F,0.65,AlH4,0.35,Li3 Al0.35 H1.4 O1 F0.65
Li3OF0.6(AlH4)0.4,Li,O,F,0.6,AlH4,0.4,Li3 Al0.4 H1.6 O1 F0.6
Li3OF0.55(AlH4)0.45,Li,O,F,0.55,AlH4,0.45,Li3 Al0.45 H1.8 O1 F0.55
Li3OF0.5(AlH4)0.5,Li,O,F,0.5,AlH4,0.5,Li3 Al0.5 H2 O1 F0.5
Li3OF0.95(BCl4)0.05,Li,O,F,0.95,BCl4,0.05,Li3 B0.05 Cl0.2 O1 F0.95
Li3OF0.9(BCl4)0.1,Li,O,F,0.9,BCl4,0.1,Li3 B0.1 Cl0.4 O1 F0.9
Li3OF0.85(BCl4)0.15,Li,O,F,0.85,BCl4,0.15,Li3 B0.15 Cl0.6 O1 F0.85
Li3OF0.8(BCl4)0.2,Li,O,F,0.8,BCl4,0.2,Li3 B0.2 Cl0.8 O1 F0.8
Li3OF0.75(BCl4)0.25,Li,O,F,0.75,BCl4,0.25,Li3 B0.25 Cl1 O1 F0.75
Li3OF0.7(BCl4)0.3,Li,O,F,0.7,BCl4,0.3,Li3 B0.3 Cl1.2 O1 F0.7
Li3OF0.65(BCl4)0.35,Li,O,F,0.65,BCl4,0.35,Li3 B0.35 Cl1.4 O1 F0.65
Li3OF0.6(BCl4)0.4,Li,O,F,0.6,BCl4,0.4,Li3 B0.4 Cl1.6 O1 F0.6
Li3OF0.55(BCl4)0.45,Li,O,F,0.55,BCl4,0.45,Li3 B0.45 Cl1.8 O1 F0.55
Li3OF0.5(BCl4)0.5,Li,O,F,0.5,BCl4,0.5,Li3 B0.5 Cl2 O1 F0.5
Li3OF0.95(NO2)0.05,Li,O,F,0.95,NO2,0.05,Li3 N0.05 O1.1 F0.95
Li3OF0.9(NO2)0.1,Li,O,F,0.9,NO2,0.1,Li3 N0.1 O1.2 F0.9
Li3OF0.85(NO2)0.15,Li,O,F,0.85,NO2,0.15,Li3 N0.15 O1.3 F0.85
Li3OF0.8(NO2)0.2,Li,O,F,0.8,NO2,0.2,Li3 N0.2 O1.4 F0.8
Li3OF0.75(NO2)0.25,Li,O,F,0.75,NO2,0.25,Li3 N0.25 O1.5 F0.75
Li3OF0.7(NO2)0.3,Li,O,F,0.7,NO2,0.3,Li3 N0.3 O1.6 F0.7
Li3OF0.65(NO2)0.35,Li,O,F,0.65,NO2,0.35,Li3 N0.35 O1.7 F0.65
Li3OF0.6(NO2)0.4,Li,O,F,0.6,NO2,0.4,Li3 N0.4 O1.8 F0.6
Li3OF0.55(NO2)0.45,Li,O,F,0.55,NO2,0.45,Li3 N0.45 O1.9 F0.55
Li3OF0.5(NO2)0.5,Li,O,F,0.5,NO2,0.5,Li3 N0.5 O2 F0.5
Li3OF0.95Br0.05,Li,O,F,0.95,Br,0.05,Li3 Br0.05 O1 F0.95
Li3OF0.9Br0.1,Li,O,F,0.9,Br,0.1,Li3 Br0.1 O1 F0.9
Li3OF0.85Br0.15,Li,O,F,0.85,Br,0.15,Li3 Br0.15 O1 F0.85
Li3OF0.8Br0.2,Li,O,F,0.8,Br,0.2,Li3 Br0.2 O1 F0.8
Li3OF0.75Br0.25,Li,O,F,0.75,Br,0.25,Li3 Br0.25 O1 F0.75
Li3OF0.7Br0.3,Li,O,F,0.7,Br,0.3,Li3 Br0.3 O1 F0.7
Li3OF0.65Br0.35,Li,O,F,0.65,Br,0.35,Li3 Br0.35 O1 F0.65
Li3OF0.6Br0.4,Li,O,F,0.6,Br,0.4,Li3 Br0.4 O1 F0.6
Li3OF0.55Br0.45,Li,O,F,0.55,Br,0.45,Li3 Br0.45 O1 F0.55
Li3OF0.5Br0.5,Li,O,F,0.5,Br,0.5,Li3 Br0.5 O1 F0.5
Li3OF0.95I0.05,Li,O,F,0.95,I,0.05,Li3 I0.05 O1 F0.95
Li3OF0.9I0.1,Li,O,F,0.9,I,0.1,Li3 I0.1 O1 F0.9
Li3OF0.85I0.15,Li,O,F,0.85,I,0.15,Li3 I0.15 O1 F0.85
Li3OF0.8I0.2,Li,O,F,0.8,I,0.2,Li3 I0.2 O1 F0.8
Li3OF0.75I0.25,Li,O,F,0.75,I,0.25,Li3 I0.25 O1 F0.75
Li3OF0.7I0.3,Li,O,F,0.7,I,0.3,Li3 I0.3 O1 F0.7
Li3OF0.65I0.35,Li,O,F,0.65,I,0.35,Li3 I0.35 O1 F0.65
Li3OF0.6I0.4,Li,O,F,0.6,I,0.4,Li3 I0.4 O1 F0.6
Li3OF0.55I0.45,Li,O,F,0.55,I,0.45,Li3 I0.45 O1 F0.55
Li3OF0.5I0.5,Li,O,F,0.5,I,0.5,Li3 I0.5 O1 F0.5
Li3OF0.95Cl0.05,Li,O,F,0.95,Cl,0.05,Li3 Cl0.05 O1 F0.95
Li3OF0.9Cl0.1,Li,O,F,0.9,Cl,0.1,Li3 Cl0.1 O1 F0.9
Li3OF0.85Cl0.15,Li,O,F,0.85,Cl,0.15,Li3 Cl0.15 O1 F0.85
Li3OF0.8Cl0.2,Li,O,F,0.8,Cl,0.2,Li3 Cl0.2 O1 F0.8
Li3OF0.75Cl0.25,Li,O,F,0.75,Cl,0.25,Li3 Cl0.25 O1 F0.75
Li3OF0.7Cl0.3,Li,O,F,0.7,Cl,0.3,Li3 Cl0.3 O1 F0.7
Li3OF0.65Cl0.35,Li,O,F,0.65,Cl,0.35,Li3 Cl0.35 O1 F0.65
Li3OF0.6Cl0.4,Li,O,F,0.6,Cl,0.4,Li3 Cl0.4 O1 F0.6
Li3OF0.55Cl0.45,Li,O,F,0.55,Cl,0.45,Li3 Cl0.45 O1 F0.55
Li3OF0.5Cl0.5,Li,O,F,0.5,Cl,0.5,Li3 Cl0.5 O1 F0.5
Li3OF0.95(BF4)0.05,Li,O,F,0.95,BF4,0.05,Li3 B0.05 O1 F1.15
Li3OF0.9(BF4)0.1,Li,O,F,0.9,BF4,0.1,Li3 B0.1 O1 F1.3
Li3OF0.85(BF4)0.15,Li,O,F,0.85,BF4,0.15,Li3 B0.15 O1 F1.45
Li3OF0.8(BF4)0.2,Li,O,F,0.8,BF4,0.2,Li3 B0.2 O1 F1.6
Li3OF0.75(BF4)0.25,Li,O,F,0.75,BF4,0.25,Li3 B0.25 O1 F1.75
Li3OF0.7(BF4)0.3,Li,O,F,0.7,BF4,0.3,Li3 B0.3 O1 F1.9
