formula,X,B,A,A_w,A_d,A_dw,composition,Tolerance_Factor
Li3OI,Li,O,I,1.0,,,Li3 I1 O1,0.9689981816260096
Li3OI0.875(NO2)0.125,Li,O,I,0.875,NO2,0.125,Li3 I0.875 N0.125 O1.25,0.957540432856783
Li3OI0.75(NO2)0.25,Li,O,I,0.75,NO2,0.25,Li3 I0.75 N0.25 O1.5,0.9460826840875566
Li3OI0.625(NO2)0.375,Li,O,I,0.625,NO2,0.375,Li3 I0.625 N0.375 O1.75,0.93462493531833
Li3OI0.5(NO2)0.5,Li,O,I,0.5,NO2,0.5,Li3 I0.5 N0.5 O2,0.9231671865491036
Li3OI0.375(NO2)0.625,Li,O,I,0.375,NO2,0.625,Li3 I0.375 N0.625 O2.25,0.9117094377798772
Li3OI0.25(NO2)0.75,Li,O,I,0.25,NO2,0.75,Li3 I0.25 N0.75 O2.5,0.9002516890106507
Li3OI0.125(NO2)0.875,Li,O,I,0.125,NO2,0.875,Li3 I0.125 N0.875 O2.75,0.8887939402414242
Li3OI0.875(IO4)0.125,Li,O,I,0.875,IO4,0.125,Li3 I1 O1.5,0.9808651357084226
Li3OI0.75(IO4)0.25,Li,O,I,0.75,IO4,0.25,Li3 I1 O2,0.9927320897908356
Li3OI0.625(IO4)0.375,Li,O,I,0.625,IO4,0.375,Li3 I1 O2.5,1.0045990438732488
Li3OI0.5(IO4)0.5,Li,O,I,0.5,IO4,0.5,Li3 I1 O3,1.016465997955662
Li3OI0.375(IO4)0.625,Li,O,I,0.375,IO4,0.625,Li3 I1 O3.5,1.028332952038075
Li3OI0.25(IO4)0.75,Li,O,I,0.25,IO4,0.75,Li3 I1 O4,1.0401999061204883
Li3OI0.125(IO4)0.875,Li,O,I,0.125,IO4,0.875,Li3 I1 O4.5,1.0520668602029013
Li3OI0.875(ICl4)0.125,Li,O,I,0.875,ICl4,0.125,Li3 I1 Cl0.5 O1,0.984138778213916
Li3OI0.75(ICl4)0.25,Li,O,I,0.75,ICl4,0.25,Li3 I1 Cl1 O1,0.9992793748018224
