material_id,composition,ensemble_mean,e_hull_from_roost
0,Li3 I1 O1,-1.6273019433021545,0.1785832729478456
1,Li3 I0.875 N0.125 O1.25,-1.666000747680664,0.13233083643267962
2,Li3 I0.75 N0.25 O1.5,-1.6948924660682678,0.09657217973902377
3,Li3 I0.625 N0.375 O1.75,-1.7079882502555848,0.07720658231574729
4,Li3 I0.5 N0.5 O2,-1.6812515258789062,0.09819597789279433
5,Li3 I0.375 N0.625 O2.25,-1.6512502431869507,0.12290971808909079
6,Li3 I0.25 N0.75 O2.5,-1.6465728521347045,0.09779967929478328
7,Li3 I0.125 N0.875 O2.75,-1.6720757722854613,0.02581669860651381
8,Li3 I1 O1.5,-1.6203749537467957,0.19688479322290142
13,Li3 I1 O4,-1.6294955611228943,0.15592648121507136
14,Li3 I1 O4.5,-1.6525777339935304,0.1043531554427437
15,Li3 I1 Cl0.5 O1,-1.7892990589141846,0.04759253485475523
16,Li3 I1 Cl1 O1,-1.8149778246879578,0.04775241701343136
17,Li3 I1 Cl1.5 O1,-1.8098859071731568,0.05630448145932232
18,Li3 I1 Cl2 O1,-1.7618979692459107,0.07308065716282086
19,Li3 I1 Cl2.5 O1,-1.6674205303192138,0.13243077273017345
20,Li3 I1 Cl3 O1,-1.561738133430481,0.19032384959035298
22,Li3 H0.25 I0.875 N0.125 O1,-1.5719693303108215,0.13659272099870234
23,Li3 H0.5 I0.75 N0.25 O1,-1.5157695531845092,0.10431689363367336
24,Li3 H0.75 I0.625 N0.375 O1,-1.4612546563148499,0.07804971683732287
25,Li3 H1 I0.5 N0.5 O1,-1.4024133205413818,0.06284081841695266
26,Li3 H1.25 I0.375 N0.625 O1,-1.3401758551597596,0.056952068340238915
27,Li3 H1.5 I0.25 N0.75 O1,-1.2731550931930542,0.06108709296079251
28,Li3 H1.75 I0.125 N0.875 O1,-1.221333420276642,0.0546812312974323
29,Li3 N1 O3,-1.5844544887542724,0.07027792592429738
30,Li3 I1 O5,-1.5975689053535462,0.06175471244737851
35,Li3 I0.375 N0.625 O3.75,-1.56586697101593,0.17890679362116524
36,Li3 I0.25 N0.75 O3.5,-1.641744315624237,0.07501658458131821
37,Li3 I0.125 N0.875 O3.25,-1.689371144771576,-0.0025550306824970725
38,Li3 H0.25 I0.875 N0.125 O4.5,-1.5623398661613463,0.18246298575558484
39,Li3 H0.5 I0.75 N0.25 O4,-1.6549740433692932,0.1099368456543992
40,Li3 H0.75 I0.625 N0.375 O3.5,-1.680371069908142,0.08700235774297704
41,Li3 H1 I0.5 N0.5 O3,-1.6697760224342346,0.07291622849187274
42,Li3 H1.25 I0.375 N0.625 O2.5,-1.6374940395355224,0.07070737140407757
43,Li3 H1.5 I0.25 N0.75 O2,-1.574343168735504,0.05802777457005215
44,Li3 H1.75 I0.125 N0.875 O1.5,-1.4141265630722046,0.028463548378942383
51,Li3 C0.25 I0.75 N0.25 O1,-1.4869348526000976,0.19741650930466226
52,Li3 C0.125 I0.875 N0.125 O1,-1.561458992958069,0.18217717594436844
54,Li3 C0.75 N1 O1.5,-1.4527310013771058,0.1647952579228933
55,Li3 C0.625 N1 O1.75,-1.5804405212402344,0.10509858174996012
56,Li3 C0.5 N1 O2,-1.6643484473228454,0.08658762075407855
57,Li3 C0.375 N1 O2.25,-1.7170019030570984,0.0968633201032787
58,Li3 C0.25 N1 O2.5,-1.7502938389778138,0.00856251211477832
59,Li3 C0.125 N1 O2.75,-1.7921891927719116,-0.08634139112645722
61,Li3 C0.75 I0.25 N0.75 O2,-1.6316181898117066,0.14386440297319303
62,Li3 C0.625 I0.375 N0.625 O2.5,-1.756387722492218,0.14664490121560836
63,Li3 C0.5 I0.5 N0.5 O3,-1.821397614479065,0.08921072570496258
64,Li3 C0.375 I0.625 N0.375 O3.5,-1.8514734745025634,0.04510220651512897
65,Li3 C0.25 I0.75 N0.25 O4,-1.817281222343445,0.0311365912578494
66,Li3 C0.125 I0.875 N0.125 O4.5,-1.713642919063568,0.07164045234384009
73,Li3 C0.125 N0.125 Cl0.875 O1,-1.8056870698928833,0.1819632458998126
75,Li3 C0.75 I0.25 N0.75 Cl1 O1,-1.5469319343566894,0.15344930916182942
76,Li3 C0.625 I0.375 N0.625 Cl1.5 O1,-1.6971641302108764,0.12110464259029352
77,Li3 C0.5 I0.5 N0.5 Cl2 O1,-1.7513082504272461,0.1368281369060853
78,Li3 C0.375 I0.625 N0.375 Cl2.5 O1,-1.7448637366294861,0.14017688394591254
79,Li3 C0.25 I0.75 N0.25 Cl3 O1,-1.7038817048072814,0.10253840933413416
80,Li3 C0.125 I0.875 N0.125 Cl3.5 O1,-1.6585708260536194,0.06934910645921333
87,Li3 C0.125 N0.125 O1 F0.875,-2.1485150337219237,0.1905113625585626
88,Li3 C0.875 N0.875 Cl0.125 O1.5,-1.44178763628006,0.18668029327876345
89,Li3 C0.75 N0.75 Cl0.25 O2,-1.705551767349243,0.12276562302112781
90,Li3 C0.625 N0.625 Cl0.375 O2.5,-1.874502670764923,0.10342247704209417
91,Li3 C0.5 N0.5 Cl0.5 O3,-1.927588975429535,0.028913275170464825
92,Li3 C0.375 N0.375 Cl0.625 O3.5,-1.8265775799751283,0.011352323258999153
93,Li3 C0.25 N0.25 Cl0.75 O4,-1.546726369857788,0.1171243891194842
97,Li3 H0.75 C0.625 N1 O1,-1.1649600982666015,0.16822226183143596
98,Li3 H1 C0.5 N1 O1,-1.1901844501495362,0.11903935811969246
99,Li3 H1.25 C0.375 N1 O1,-1.2105461597442626,0.07562319299158338
100,Li3 H1.5 C0.25 N1 O1,-1.222111177444458,0.0418575884814667
101,Li3 H1.75 C0.125 N1 O1,-1.2247254252433777,0.01785004793843914
102,Li3 Cl1 O1,-2.040589392185211,0.05114096756478892
103,Li3 I0.125 Cl0.875 O1,-2.0031412959098818,0.052858420902618164
104,Li3 I0.25 Cl0.75 O1,-1.9361142754554748,0.084154798419525
105,Li3 I0.375 Cl0.625 O1,-1.8832048654556275,0.101333565481873
106,Li3 I0.5 Cl0.5 O1,-1.854630422592163,0.09417736540783683
107,Li3 I0.625 Cl0.375 O1,-1.8313464403152466,0.08173070474725352
108,Li3 I0.75 Cl0.25 O1,-1.8003278255462647,0.07701867657873573
109,Li3 I0.875 Cl0.125 O1,-1.7678378105163575,0.07377804867114235
110,Li3 N0.125 Cl0.875 O1.25,-1.889458966255188,0.12943840264957474
111,Li3 N0.25 Cl0.75 O1.5,-1.8505300879478455,0.10215547109760781
112,Li3 N0.375 Cl0.625 O1.75,-1.8082482099533081,0.08398308791625664
113,Li3 N0.5 Cl0.5 O2,-1.7696451544761658,0.06716973731550091
114,Li3 N0.625 Cl0.375 O2.25,-1.736951756477356,0.04888004172264382
115,Li3 N0.75 Cl0.25 O2.5,-1.7254630088806153,0.013307472157846334
116,Li3 N0.875 Cl0.125 O2.75,-1.7323298573493957,-0.03713466997902537
117,Li3 I0.125 Cl0.875 O1.5,-2.0162625432014467,0.028374022461431725
118,Li3 I0.25 Cl0.75 O2,-1.884106695652008,0.12128504160493625
119,Li3 I0.375 Cl0.625 O2.5,-1.8257981657981872,0.1463864089614304
120,Li3 I0.5 Cl0.5 O3,-1.8158650279045105,0.12785626471453626
120,Li3 I0.5 Cl0.5 O3,-1.8158650279045105,0.12785626471453626
121,Li3 I0.625 Cl0.375 O3.5,-1.7934932470321656,0.07230148693311156
122,Li3 I0.75 Cl0.25 O4,-1.7420873641967773,0.055521630946450795
123,Li3 I0.875 Cl0.125 O4.5,-1.675567865371704,0.06187724257560001
124,Li3 I0.125 Cl1.375 O1,-2.0286193609237673,0.03564905153835429
125,Li3 I0.25 Cl1.75 O1,-1.9271753430366516,0.11420811335223746
131,Li3 Cl0.875 O1 F0.125,-2.0020851373672484,0.1410967198827513
132,Li3 Cl0.75 O1 F0.25,-2.0437317728996276,0.15090158185037206
133,Li3 Cl0.625 O1 F0.375,-2.108128070831299,0.13795678141870127
134,Li3 Cl0.5 O1 F0.5,-2.173071002960205,0.12446534678979537
135,Li3 Cl0.375 O1 F0.625,-2.2526516199111937,0.09633622733880687
136,Li3 Cl0.25 O1 F0.75,-2.327837657928467,0.07260168682153312
137,Li3 Cl0.125 O1 F0.875,-2.4111217498779296,0.04076909237207049
138,Li3 Cl1 O1.5,-1.9283007860183716,0.013596325345264004
139,Li3 Cl1 O2,-1.7418700575828552,0.07516601345881102
140,Li3 Cl1 O2.5,-1.5894399642944337,0.12194445724402803
141,Li3 Cl1 O3,-1.4768563866615296,0.14396947815989902
142,Li3 Cl1 O3.5,-1.3833081007003785,0.15903368163295473
143,Li3 Cl1 O4,-1.288269543647766,0.1853986665084837
145,Li3 H0.25 N0.125 Cl0.875 O1,-1.8449609518051147,0.10180538575440945
146,Li3 H0.5 N0.25 Cl0.75 O1,-1.728594219684601,0.08638664315630917
147,Li3 H0.75 N0.375 Cl0.625 O1,-1.6195433378219604,0.07511165679760312
148,Li3 H1 N0.5 Cl0.5 O1,-1.5200729489326477,0.06428333315068646
149,Li3 H1.25 N0.625 Cl0.375 O1,-1.4241883873939514,0.058693079156050265
150,Li3 H1.5 N0.75 Cl0.25 O1,-1.334444522857666,0.05476788320002868
151,Li3 H1.75 N0.875 Cl0.125 O1,-1.2593372225761414,0.043144571914599084
153,Li3 I0.875 N0.125 Cl3.5 O1.25,-1.560950231552124,0.12924368589504875
154,Li3 I0.75 N0.25 Cl3 O1.5,-1.5751187086105347,0.15148050044736983
155,Li3 I0.625 N0.375 Cl2.5 O1.75,-1.587594711780548,0.17573838274302167
156,Li3 I0.5 N0.5 Cl2 O2,-1.5958812952041626,0.19090614151690377
157,Li3 I0.375 N0.625 Cl1.5 O2.25,-1.6393235564231872,0.16854231025960953
158,Li3 I0.25 N0.75 Cl1 O2.5,-1.6565887808799744,0.1152134784255805
159,Li3 I0.125 N0.875 Cl0.5 O2.75,-1.6459655523300172,0.06932023025906364
166,Li3 I1 Cl0.5 O4.5,-1.6283627152442932,0.06453642720362218
167,Li3 H0.25 I0.875 N0.125 Cl3.5 O1,-1.5989726901054382,0.0967912766631629
168,Li3 H0.5 I0.75 N0.25 Cl3 O1,-1.6336787939071655,0.10295598226930514
169,Li3 H0.75 I0.625 N0.375 Cl2.5 O1,-1.6743874430656434,0.09245305388791958
170,Li3 H1 I0.5 N0.5 Cl2 O1,-1.6822702765464783,0.09091283294082575
