material_id,composition,E_g
19,Li3 H0.75 I0.625 N0.375 O1,3.1474773406982424
20,Li3 H1 I0.5 N0.5 O1,3.383855438232422
21,Li3 H1.25 I0.375 N0.625 O1,3.497784638404846
22,Li3 H1.5 I0.25 N0.75 O1,3.445726442337036
23,Li3 H1.75 I0.125 N0.875 O1,3.3776423215866087
32,Li3 H1 I0.5 N0.5 O3,3.539666676521301
33,Li3 H1.25 I0.375 N0.625 O2.5,3.8144277334213257
34,Li3 H1.5 I0.25 N0.75 O2,3.8305063962936403
35,Li3 H1.75 I0.125 N0.875 O1.5,3.6446377992630006
44,Li3 C0.75 I0.25 N0.75 O2,3.4075238943099975
45,Li3 C0.625 I0.375 N0.625 O2.5,3.568663144111633
46,Li3 C0.5 I0.5 N0.5 O3,3.5632915019989015
47,Li3 C0.375 I0.625 N0.375 O3.5,3.203303074836731
51,Li3 C0.75 I0.25 N0.75 Cl1 O1,4.03866822719574
52,Li3 C0.625 I0.375 N0.625 Cl1.5 O1,3.9192253828048704
53,Li3 C0.5 I0.5 N0.5 Cl2 O1,3.773271358013153
54,Li3 C0.375 I0.625 N0.375 Cl2.5 O1,3.4946498215198516
55,Li3 C0.25 I0.75 N0.25 Cl3 O1,3.199737948179245
59,Li3 C0.75 N0.75 Cl0.25 O2,3.535980623960495
60,Li3 C0.625 N0.625 Cl0.375 O2.5,3.972928011417389
61,Li3 C0.5 N0.5 Cl0.5 O3,4.161394023895264
62,Li3 C0.375 N0.375 Cl0.625 O3.5,3.804857277870178
64,Li3 H0.75 C0.625 N1 O1,3.162285661697388
65,Li3 H1 C0.5 N1 O1,3.14163498878479
69,Li3 Cl1 O1,4.024839162826538
71,Li3 I0.25 Cl0.75 O1,3.0528772711753844
72,Li3 I0.375 Cl0.625 O1,3.0933680295944215
73,Li3 I0.5 Cl0.5 O1,3.1457664251327513
76,Li3 I0.875 Cl0.125 O1,3.0420233368873597
79,Li3 N0.375 Cl0.625 O1.75,3.0096372604370116
94,Li3 Cl0.875 O1 F0.125,3.6361258387565614
95,Li3 Cl0.75 O1 F0.25,3.6381277203559876
96,Li3 Cl0.625 O1 F0.375,3.4754134356975555
97,Li3 Cl0.5 O1 F0.5,3.631140273809433
98,Li3 Cl0.375 O1 F0.625,3.8874778032302855
99,Li3 Cl0.25 O1 F0.75,4.0639211416244505
100,Li3 Cl0.125 O1 F0.875,4.163140511512756
101,Li3 Cl1 O1.5,3.9002131462097167
102,Li3 Cl1 O2,3.0773975968360903
105,Li3 Cl1 O3.5,3.3289006054401398
106,Li3 Cl1 O4,3.5453096508979796
109,Li3 H0.75 N0.375 Cl0.625 O1,3.1069803476333617
110,Li3 H1 N0.5 Cl0.5 O1,3.138277864456177
111,Li3 H1.25 N0.625 Cl0.375 O1,3.0527165591716767
123,Li3 H0.5 I0.75 N0.25 Cl3 O1,3.140360879898071
124,Li3 H0.75 I0.625 N0.375 Cl2.5 O1,3.487390321493149
125,Li3 H1 I0.5 N0.5 Cl2 O1,3.790278160572052
126,Li3 H1.25 I0.375 N0.625 Cl1.5 O1,4.118885827064514
127,Li3 H1.5 I0.25 N0.75 Cl1 O1,4.175205659866333
128,Li3 H1.75 I0.125 N0.875 Cl0.5 O1,3.9168333768844605
129,Li3 Al0.625 I0.375 O1 F2.5,4.683620119094849
130,Li3 Al0.5 I0.5 O1 F2,4.510679411888122
131,Li3 Al0.375 I0.625 O1 F1.5,4.251750922203064
132,Li3 Al0.75 N0.25 O1.5 F3,5.324118494987488
133,Li3 Al0.625 N0.375 O1.75 F2.5,5.4147467613220215
134,Li3 Al0.5 N0.5 O2 F2,5.233280539512634
135,Li3 Al0.375 N0.625 O2.25 F1.5,4.770361280441284
136,Li3 Al0.25 N0.75 O2.5 F1,4.209981179237365
137,Li3 Al0.125 N0.875 O2.75 F0.5,3.5766339778900145
141,Li3 Al0.75 C0.25 N0.25 O1 F3,5.681013202667236
142,Li3 Al0.625 C0.375 N0.375 O1 F2.5,5.454052734375
143,Li3 Al0.5 C0.5 N0.5 O1 F2,5.037416672706604
144,Li3 Al0.375 C0.625 N0.625 O1 F1.5,4.193705320358276
145,Li3 Al0.25 C0.75 N0.75 O1 F1,3.8215410113334656
146,Li3 Al0.75 Cl0.25 O1 F3,5.938445639610291
147,Li3 Al0.625 Cl0.375 O1 F2.5,5.968045902252197
148,Li3 Al0.5 Cl0.5 O1 F2,5.738673734664917
149,Li3 Al0.375 Cl0.625 O1 F1.5,5.255984926223755
150,Li3 Al0.25 Cl0.75 O1 F1,4.7049202680587765
151,Li3 Al0.125 Cl0.875 O1 F0.5,4.29886417388916
153,Li3 Al0.75 B0.25 H1 O1 F3,6.1288261890411375
154,Li3 Al0.625 B0.375 H1.5 O1 F2.5,5.578946113586426
155,Li3 Al0.5 B0.5 H2 O1 F2,5.114247989654541
156,Li3 Al0.5 B0.5 H2 O1 F2,5.1142477035522464
157,Li3 Al0.375 B0.625 H2.5 O1 F1.5,4.845018100738526
158,Li3 Al0.5 B0.5 O1 F4,6.609693622589111
159,Li3 Al0.375 B0.625 O1 F4,6.566863346099853
160,Li3 Al0.25 B0.75 O1 F4,6.5062416076660154
161,Li3 Al0.125 B0.875 O1 F4,6.452749347686767
162,Li3 Al0.875 O1 F3.625,5.460088086128235
163,Li3 Al0.75 O1 F3.25,5.741179633140564
164,Li3 Al0.625 O1 F2.875,5.896775817871093
165,Li3 Al0.5 O1 F2.5,5.91932487487793
166,Li3 Al0.375 O1 F2.125,5.777999496459961
167,Li3 Al0.25 O1 F1.75,5.504277324676513
168,Li3 Al0.125 O1 F1.375,5.082526397705078
170,Li3 Al0.75 Br0.25 O1 F3,5.19989629983902
171,Li3 Al0.625 Br0.375 O1 F2.5,5.441053438186645
172,Li3 Al0.5 Br0.5 O1 F2,5.290039873123169
173,Li3 Al0.375 Br0.625 O1 F1.5,4.881710052490234
174,Li3 Al0.25 Br0.75 O1 F1,4.439299941062927
175,Li3 Al0.75 H0.5 N0.25 O1 F3,5.6450514793396
176,Li3 Al0.625 H0.75 N0.375 O1 F2.5,5.60886812210083
177,Li3 Al0.5 H1 N0.5 O1 F2,5.370507287979126
178,Li3 Al0.375 H1.25 N0.625 O1 F1.5,4.9920289516448975
179,Li3 Al0.25 H1.5 N0.75 O1 F1,4.664882254600525
180,Li3 Al0.125 H1.75 N0.875 O1 F0.5,4.397239851951599
