material_id,composition,K,G
0,Li3 H0.75 I0.625 N0.375 O1,35.97007503509521,18.63489294052124
1,Li3 H1 I0.5 N0.5 O1,38.31504383087158,19.945918846130372
2,Li3 H1.25 I0.375 N0.625 O1,40.258012199401854,21.259496879577636
3,Li3 H1.5 I0.25 N0.75 O1,41.688354110717775,22.172660541534423
4,Li3 H1.75 I0.125 N0.875 O1,42.81808280944824,22.336785888671876
5,Li3 H1 I0.5 N0.5 O3,38.48831062316894,17.192032718658446
6,Li3 H1.25 I0.375 N0.625 O2.5,41.09440441131592,18.923433589935303
7,Li3 H1.5 I0.25 N0.75 O2,42.95592269897461,20.546618461608887
8,Li3 H1.75 I0.125 N0.875 O1.5,43.944814682006836,21.588227653503417
9,Li3 C0.75 I0.25 N0.75 O2,53.702497482299805,23.52365074157715
10,Li3 C0.625 I0.375 N0.625 O2.5,46.7101993560791,20.11882734298706
11,Li3 C0.5 I0.5 N0.5 O3,41.04781322479248,17.692041206359864
13,Li3 C0.75 I0.25 N0.75 Cl1 O1,39.20581588745117,18.55282030105591
18,Li3 C0.75 N0.75 Cl0.25 O2,52.11624450683594,28.137993621826173
19,Li3 C0.625 N0.625 Cl0.375 O2.5,47.25959510803223,24.342683792114258
20,Li3 C0.5 N0.5 Cl0.5 O3,42.85534019470215,21.058548355102538
21,Li3 C0.375 N0.375 Cl0.625 O3.5,39.17224349975586,18.98498125076294
39,Li3 Cl1 O3.5,48.81563301086426,27.31683464050293
40,Li3 Cl1 O4,47.05794544219971,24.529909133911133
49,Li3 H1.75 I0.125 N0.875 Cl0.5 O1,36.062157249450685,18.05722360610962
97,Li3 B0.5 H2 N0.5 O2,38.558922386169435,19.74627342224121
98,Li3 B0.375 H1.5 N0.625 O2.25,43.229526138305665,22.396097660064697
99,Li3 B0.25 H1 N0.75 O2.5,47.88610725402832,24.747183418273927
100,Li3 B0.125 H0.5 N0.875 O2.75,52.326026916503906,26.954704093933106
103,Li3 B0.625 H2.5 I0.375 O2.5,36.52450046539307,17.460302066802978
104,Li3 B0.5 H2 I0.5 O3,36.9362850189209,17.28174591064453
116,Li3 B0.75 H3 Cl0.25 O2,33.198333168029784,17.3681697845459
117,Li3 B0.625 H2.5 Cl0.375 O2.5,35.717343711853026,18.425391387939452
118,Li3 B0.5 H2 Cl0.5 O3,37.45565929412842,18.945928382873536
119,Li3 B0.375 H1.5 Cl0.625 O3.5,37.98490962982178,18.666372966766357
120,Li3 B0.25 H1 Cl0.75 O4,37.3486909866333,17.814722061157227
122,Li3 B1 O1 F4,42.85210494995117,21.987285804748534
123,Li3 B0.875 I0.125 O1 F3.5,52.10741844177246,24.47273406982422
124,Li3 B0.75 I0.25 O1 F3,48.35500907897949,24.315483474731444
125,Li3 B0.625 I0.375 O1 F2.5,44.734445571899414,23.64237289428711
126,Li3 B0.5 I0.5 O1 F2,41.661350631713866,22.315534400939942
127,Li3 B0.875 N0.125 O1.25 F3.5,38.82448043823242,21.622797203063964
130,Li3 B0.5 N0.5 O2 F2,47.384159851074216,26.921953773498537
131,Li3 B0.375 N0.625 O2.25 F1.5,50.555593490600586,28.13312530517578
132,Li3 B0.25 N0.75 O2.5 F1,53.396911239624025,29.31098346710205
133,Li3 B0.125 N0.875 O2.75 F0.5,55.17015495300293,30.399876213073732
134,Li3 B0.875 I0.125 O1.5 F3.5,53.2813232421875,24.311907386779787
135,Li3 B0.75 I0.25 O2 F3,51.237373733520506,24.00828685760498
136,Li3 B0.625 I0.375 O2.5 F2.5,48.260925674438475,23.10697708129883
137,Li3 B0.5 I0.5 O3 F2,44.77807197570801,21.329235744476318
138,Li3 B0.875 C0.125 N0.125 O1 F3.5,38.81942520141602,20.332561779022218
139,Li3 B0.75 C0.25 N0.25 O1 F3,40.69830055236817,21.66470546722412
140,Li3 B0.625 C0.375 N0.375 O1 F2.5,42.66935272216797,22.979068279266357
141,Li3 B0.5 C0.5 N0.5 O1 F2,44.8109546661377,24.20043811798096
142,Li3 B0.375 C0.625 N0.625 O1 F1.5,47.003811264038085,24.861988639831544
143,Li3 B0.25 C0.75 N0.75 O1 F1,48.89237327575684,25.315172576904295
149,Li3 B0.875 I0.125 Cl0.5 O1 F3.5,42.51440277099609,19.763404369354248
150,Li3 B0.75 I0.25 Cl1 O1 F3,38.56002235412598,18.541466426849365
157,Li3 B1 H1 O1 F3,41.8816276550293,23.151836776733397
158,Li3 B1 H1.5 O1 F2.5,39.7372184753418,21.487852001190184
159,Li3 B1 H2 O1 F2,37.50422325134277,20.109628105163573
160,Li3 B0.875 O1 F3.625,43.42964820861816,22.6435604095459
161,Li3 B0.75 O1 F3.25,44.027801513671875,23.390371322631836
162,Li3 B0.625 O1 F2.875,44.63271980285644,24.224320030212404
163,Li3 B0.875 Cl0.125 O1.5 F3.5,47.03628387451172,26.848133659362794
164,Li3 B0.75 Cl0.25 O2 F3,47.519152069091795,26.848881912231445
165,Li3 B0.625 Cl0.375 O2.5 F2.5,46.99912796020508,26.16459503173828
166,Li3 B0.5 Cl0.5 O3 F2,45.49099845886231,24.563357162475587
167,Li3 B0.875 Br0.125 O1 F3.5,50.77929191589355,28.076759910583498
172,Li3 B0.875 H0.25 N0.125 O1 F3.5,38.57024154663086,20.10027904510498
173,Li3 B0.75 H0.5 N0.25 O1 F3,39.4593448638916,20.8244686126709
174,Li3 B0.625 H0.75 N0.375 O1 F2.5,40.16038284301758,21.39019145965576
175,Li3 B0.5 H1 N0.5 O1 F2,40.49636459350586,21.537775421142577
176,Li3 B0.375 H1.25 N0.625 O1 F1.5,40.29118881225586,21.18907699584961
177,Li3 B0.25 H1.5 N0.75 O1 F1,39.370106887817386,20.39295177459717
178,Li3 B0.125 H1.75 N0.875 O1 F0.5,37.688521194458005,19.30083360671997
191,Li3 Al0.125 H0.5 I0.875 O4.5,46.355970764160155,26.336511421203614
