material_id,composition,E_f
mp-1235216,Li1 P4 Br12 O4,-1.321997400090703
mp-763425,Li2 Mn4 F14,-2.851898315669541
mp-1211135,Li2 Nd2 S4 O16,-2.396218520069443
mp-555303,Li2 Er2 P8 O24,-2.852630637050264
mp-768922,Li6 V6 B6 O24,-2.550690163452381
mp-768447,Li2 Mn6 P6 O24,-2.4782224626871034
mp-759397,Li4 Fe8 B8 O24,-2.265901708333333
mp-1235127,Li1 P4 Br12 O4,-1.2949663815192742
mp-1020057,Li4 La4 O8,-3.1703738514583337
mp-757974,Li4 Sn4 P16 O48,-2.4561084746891533
mp-755646,Li2 Cu2 O2,-1.336002465277777
mp-776546,Li3 Fe6 O3 F15,-2.5237695466666654
mp-755438,Li2 Fe4 O4 F6,-2.3261603169791663
mp-1192145,Li4 Ga4 H16,-0.1677160620337296
mp-1027832,Li1 Mg14 Cu1,0.0306314468229169
mp-1110835,K2 Li1 Sb1 F6,-2.896441173283333
mp-504103,Li2 W4 O8,-1.8047266533333328
mp-1211093,Li2 Ca2 Fe2 F12,-3.317689083148148
mp-1185343,Li1 Ce3,0.2648316679166669
mp-26727,Li2 V2 P4 O14,-2.6874158391017304
mp-22243,Li4 Ni4 As4 O16,-1.811565513690476
mp-776378,Li9 Cu9 B9 O27,-2.023502790277777
mp-772977,Ba10 Li1 W7 O30,-2.70790949142361
mp-975321,Li2 Si6,0.2234253154166667
mp-776244,Li4 V8 P12 O48,-2.633339140820106
mp-25971,Li2 Mn2 P2 O8,-2.5809037887010318
mp-16648,Li2 Sn8 Rh2,-0.3563116297222197
mp-1035479,Rb1 Li1 Mg14 O15,-2.7010951588172043
mp-1236484,Li1 Bi2 As2 Pb2 O10,-1.656599310784313
mp-562137,K4 Li4 C4 O12,-2.187607085930555
mp-754581,Li4 Fe4 F12,-2.7397112226666662
mp-754048,Li4 Mn4 B4 O16,-2.2948525982758627
mp-1192746,Li2 As4 H6 O14,-1.6394201649679467
mp-1235087,Li1 V4 Ni2 O12,-2.0018189291228063
mp-758496,Li4 Ti4 P16 O48,-2.6771467261243376
mp-1111927,K2 Li1 Cr1 F6,-3.1451961892833338
mp-14209,Li3 Y3 Ge3,-0.71909869611111
mp-41701,Li2 Co4 P8 H6 O28,-2.218184994818948
mp-1236192,Li1 Pu2 Te1 O2,-1.9648885170833288
mp-1176712,Li1 Fe7 O7 F1,-1.624177181145833
mp-33322,Li2 Ho2 Se4,-1.9473703461979175
mp-763784,Li1 Mn2 F6,-2.8798039437994896
mp-754742,Li1 Co2 O4,-1.3926115319047614
mp-1020060,Li8 B8 S32 O112,-1.904968649624999
mp-1236502,Ba2 Li1 Tb1 Ir1 O6,-2.4803398122727263
mp-863386,Li18 Co18 P18 O72,-2.327908668758503
mp-939375,Li2 Cu2 P2 O8 F2,2.565087186190477
mp-1206373,Li1 Hf1 Se2,-1.482287628697918
mp-1228761,Ba12 Li3 Ir9 O36,-2.1324558774999995
mp-768774,Li2 Bi8 B6 O22,-2.1660900933333336
mp-759000,Li2 Fe8 P6 O24,-2.2899073998630954
mp-26913,Li2 Cr8 P6 O24,-2.4680236303630942
mp-753223,Li4 V4 Si4 O16,-2.77205635297619
mp-12263,Li4 Au4 F16,-2.0171709255555554
mp-585279,Li16 Mn16 P16 O64,-2.4450728465581757
mp-1198595,Li2 B12 H20 O4,-0.6266300858333319
mp-1211144,Li4 Sm24 B12 O56,-3.5323196663888887
mp-1235433,Li1 Pr2 Pa2 O8,-3.597151657435896
mp-1111738,Na2 Li1 Tl1 Br6,-1.2334272937916697
mp-778739,Li2 Cu10 P4 O16,-1.6219989367261896
mp-776414,Li1 V4 O1 F11,-3.1202360375490192
mp-1235065,Rb3 Li1 Tb1 V2 O8,-2.569990248166667
mp-863257,Li1 Ga3,-0.2455080211666676
mp-558815,Rb4 Li2 V2 S8,-1.4321961479166667
mp-26051,Li1 Mo8 P8 O44,-2.279414547712724
mp-1021306,Li2 Mg12 B2,0.3191851639236098
mp-645662,Ba14 Na14 Li1 N6,-0.297018754361248
mp-755415,Li2 V2 F8,-3.1425045255555566
mp-758753,Li3 Mn18 O36,-1.8629513481185715
mp-1211749,Li4 Mg12 W12 O48,-2.411905496096491
mp-1222368,Li1 V1 Mo1 O6,-2.1755341831481485
mp-755207,Li2 Fe4 O4 F6,-2.278995394479166
mp-867108,Li1 Dy1 Tl2,-0.3945212229166728
mp-776734,Li8 Fe8 F40,-2.3546676222619056
mp-1517398,Li1 Nd1 Mn4 O12,-1.6409456690309712
mp-1276026,Li4 V4 O8,-2.481070122708333
mp-1176692,Li2 Fe2 P2 C2 O14,-1.9714383261796529
mp-730585,Li8 B8 H16 O8 F32,-2.58395161375
mp-1028052,Li1 Y1 Mg14,0.030701982916667
mp-783911,Li12 V24 O12 F60,-3.0250635893518525
mp-26297,Li4 V4 P12 O36,-2.6360565303401358
mp-760512,Li2 Cu2 C2 O6,-1.646421867222222
mp-865738,Li1 Pr1 Hg2,-0.5101804383333288
mp-763240,Li2 Co2 Si2 O8,-2.3272306426190474
mp-774424,Li4 Mn4 V4 O16,-2.3080218441091955
mp-6591,Sr2 Li2 Al2 F12,-3.8778360842592594
mp-775269,Li4 Fe8 B8 O24,-2.272915458333333
mp-1235944,Ba3 Li1 Ti3 O8,-3.0398020395555543
mp-8412,Li4 Ce4 O8,-3.0872374014583324
mp-3924,Li2 Nb2 O4,-2.684231572083335
mp-673119,Li2 Sn4 P6 O20,-2.4187037645163683
mp-532767,K6 Li1 Fe24 S26 Cl1,-0.8010752655488494
mp-849747,Li1 Fe8 B8 O24,-2.20665305918699
mp-29463,Li4 Be4 N4,-0.9938989936111112
mp-1111835,Cs2 Li1 Sb1 Br6,-1.6815549232643678
mp-1206281,Li2 Al2 Au2,-0.3766285741269849
mp-759865,Li3 V3 Cr3 P6 H6 O30,-2.39916167902661
mp-1235867,Ba6 Li1 Nb2 Ir1 Cl2 O12,-2.829348301388889
mp-1235671,Li1 Cu6 O1 F11,-1.7930767878070175
mp-1034187,Li1 Mg14 Ti1 O16,-2.996272708645833
mp-1207296,Li1 Ho3 S6,0.6510690612604094
mp-758944,Li4 Bi4 P16 O48,-2.494045634411376
mp-756535,Li2 Fe2 F8,-2.725181016388889
mp-757559,Li4 Bi4 P8 O28,-2.492331220919913
mp-584674,Li4 Co4 P12 O36,-2.475687299804421
mp-860961,Li8 Mn8 P8 O32,-2.5657702628081758
mp-775429,Ba4 Li1 Bi3 O11,-2.2177233534649123
mp-849757,Li4 Mn4 Si16 O40,-2.934366507735273
mp-772546,Na10 Li2 Mn4 P4 C4 O28,-2.3600857253991405
mp-860888,Li4 Ni4 P12 O36,-2.4190260444472784
mp-773196,Li2 Co2 C2 S2 O14,-1.7737256528030307
mp-1176663,Li8 Mn8 P16 O56,-2.51314899561819
mp-761188,Li4 V12 Co8 O48,-1.8237454964351845
mp-753466,Li2 V6 O4 F12,-2.972221486944443
mp-1176549,Li2 V6 O12,-2.481063828333332
mp-759459,Li2 V2 F8,-3.1966882588888894
mp-1176654,Li2 Mn2 F8,-2.9189389077107277
mp-1097641,Li1 Ga1 Ir2,2.551187513237185
mp-31301,Li2 Sn8 Au6,-0.2823388860416647
mp-766121,Li12 V12 Si12 O48,-2.8306795263095226
mp-1025496,Li2 Nb2 Se4,-1.236610022447918
mp-758828,Li4 Cu4 P4 O16,-2.141176493282312
mp-759301,Li2 Co6 O12,-1.3580022998333334
mp-1235241,Li1 Ti1 H6 O2 F6,-2.201179587135417
mp-757465,Li4 Fe4 P4 O16,-2.381768921496598
mp-765635,Li8 Fe8 P8 O32,-2.4093819725680268
mp-1185360,Li1 Mn1 Ir2,-0.1937590828160926
mp-779059,Li2 V8 O10 F14,-2.797105205784313
mp-1099313,Li1 Mg6 Ga1,-0.0429807326041666
mp-1176703,Li8 Fe8 P8 O32,-2.40662803042517
mp-759071,Li2 Sb2 P8 O24,-2.454353625939152
mp-867684,Li4 Ni4 P16 O48,-2.3417149117724856
mp-1211846,Li4 Nd4 C16 O40,-1.612801006770833
mp-556814,Li4 Nd4 Ge4 O16,-2.855824218690476
mp-758685,Li4 Fe4 P12 O36,-2.5086754803401345
mp-1185327,Li1 Dy2 Tl1,-0.2816259833333312
mp-777550,Li4 Fe4 F16,-2.7981983809722224
mp-1235029,Ba3 Li1 Ti3 O8,-3.049258280222221
mp-1222324,Li3 Zn3 Ge3,-0.2493018361111111
mp-752878,Li4 Ag8 F16,-1.7484961116666662
mp-758519,Li4 Fe4 Si4 O16,-2.4422761894047613
mp-758914,Rb4 Li4 V4 P4 O20,-2.5097199414418
mp-1523057,Li4 Nd4 Gd4 Fe4 O24,-2.601160820833333
mp-757816,Li2 Nb2 P8 O24,-2.562326319550264
mp-540268,Li2 Mo4 P6 O24,-2.501929603458994
mp-977374,Li1 Lu1 Pd2,-0.7595399033333301
mp-982667,Li1 Al2 Os1,-0.4801070258333304
mp-1235302,Li1 Ti2 Zn2 P2 O10,-2.5065070243697485
mp-1176610,Li4 Ni4 P12 O36,-2.4940992181972783
mp-867162,Li1 Tm2 Rh1,-0.5328709733333383
mp-1222409,Li2 Ga2 B2 H6 O10,-2.053818771477273
mp-19251,Rb2 Li2 Cr2 O8,-2.0879513244047607
mp-771523,Li4 Cr8 O16,-2.2411893058333336
mp-851076,Li5 Mn10 B10 O30,-2.4232993731389767
mp-1235024,Li1 Nb2 Te4 Cl10 O1,-1.4466582459722217
mp-1013762,Li4 Ti8 P8 O36,-2.9949358449489805
mp-1095977,Ba2 Li1 Cd1,1.1701779041666671
mp-752898,Li2 Cu6 F14,-2.0378082358333334
mp-9143,Li1 P1 F6,-2.924595283705357
mp-756178,Li2 Ti2 V2 O10,-2.7455325361458334
mp-8923,Sr4 Li2 Fe4 N6,-0.6645102297916665
mp-6663,Na4 Li4 Ge16 O36,-2.169110450314189
mp-1176720,Li1 Fe5 O4 F8,-2.304371222962964
mp-757618,Li4 Fe4 Si12 O32,-2.803036359487179
mp-759173,Li1 V3 O8,-2.2621441477777773
mp-1045516,Li1 Ni2 O4,-1.1800540776190471
mp-975799,Li2 Zn6,-0.1592490316666674
mp-754709,Li1 Ti1 V3 O8,-2.5956674120512835
mp-753373,Li1 V1 F4,-3.1380182338888893
mp-1340104,Li4 Mn4 O4 F8,-1.6521753927528735
mp-756818,Li6 Si6 Bi6 O24,-2.4823189209523813
mp-780318,Li8 Co8 O8 F16,-2.132601312166666
mp-800160,Li2 Mn2 P4 O14,-0.2109462039136438
mp-1326495,Li2 V2 Si6 O16,1.016999232820513
mp-1113020,Cs2 Li1 Ce1 Cl6,-2.457346207264368
mp-759232,Li2 Mn2 V2 P8 O28,-2.591847081182656
mp-1039957,Li1 Hf1 Mg30 O31,-2.933173837235449
mp-1521265,Ba4 Li4 Tb4 Sb4 O24,-2.57446304975
mp-1040143,Li1 Ce1 Mg30 O32,-3.0019257831770827
mp-1206734,Li1 In1 Pt1,-0.5995654477777729
mp-1022597,Li2 Mg12 Zn2,-0.0018096510416667
mp-541272,Li2 Ge4 P6 O24,-2.475771699847881
mp-1203426,Li4 Zn4 As4 O20,-1.455121046979167
mp-6553,Li2 Sc2 Si4 O12,-3.3382006928333325
mp-862719,Li1 Y2 Os1,-0.2260224816666678
mp-1235575,Ba1 Li1 Zr1 O3,-2.5512599126388884
mp-1295192,Li4 Mn4 C8 O24,-1.9821148658764376
mp-781859,Li2 Cu4 P6 H16 O26,-1.7325482051763668
mp-1101736,Li1 Fe3 O4,-1.6717041754166653
mp-1100398,Li1 Be1 Sb1,-0.3259631261111113
mp-754766,Li1 V1 F4,-3.148553248888889
mp-867877,Li1 Cd1 Au2,-0.3923642516666668
mp-31468,Li4 Ca4 N4,-0.7978766309722225
mp-1178103,Li1 Fe2 O4,-1.638311157619047
mp-760158,Li3 Mn3 V3 P6 H6 O30,-2.3274215836107883
mp-33363,Li2 Y2 S4,-2.1109852318229176
mp-1662129,Li4 Co4 P4 O16,-2.3228250722108847
mp-1235617,Ba2 Li1 C2 O6,-2.304616469393939
mp-1096265,Li1 Sc2 Co1,2.193807726041669
mp-1228175,Ba10 Li2 Mo4 N14 Cl4,-1.3672431428431375
mp-849221,Li4 Mn8 P4 O24,-2.2828320953838257
mp-1176736,Li4 Fe8 O4 F12,-2.392843708333333
mp-1021293,Li2 La2 Mg12,0.0578924789583332
mp-973058,Li1 Lu2 Al1,-0.2322172099999981
mp-1189357,Cs6 Li2 Br8,-1.9709407395833336
mp-758737,Li2 Fe2 P8 O24,-2.477221388161375
mp-777798,Li1 V6 O7 F5,-2.7146508030701746
mp-26967,Li4 Cr16 P12 O48,-2.4960741444880945
mp-1185368,Li1 Mg1 In2,-0.1611561354166655
mp-1235844,Ba2 Li1 La1 Cu3 O7,-2.109665700773809
mp-26949,Li2 Sn4 P10 O30,-2.4982367356107664
mp-695259,Ba6 Li2 Ti10 Sb6 O42,-2.973476203560605
mp-758098,Li2 P6 W4 O24,-2.5279840251256607
mp-1235723,Li1 Ti1 Fe1 O4,-2.5603707266666658
