material_id,formula_pretty,composition,E_f,E_g
mp-1235216,LiP4(Br3O)4,Li1 P4 Br12 O4,-1.3219974000907033,0.5519
mp-763425,LiMn2F7,Li2 Mn4 F14,-2.8518983156695406,1.0465
mp-1211135,LiNd(SO4)2,Li2 Nd2 S4 O16,-2.396218520069443,5.3668
mp-555303,LiEr(PO3)4,Li2 Er2 P8 O24,-2.852630637050264,5.749499999999999
mp-768922,LiVBO4,Li6 V6 B6 O24,-2.550690163452381,0.0
mp-768447,LiMn3(PO4)3,Li2 Mn6 P6 O24,-2.4782224626871034,0.0
mp-759397,LiFe2(BO3)2,Li4 Fe8 B8 O24,-2.265901708333333,1.5637
mp-1235127,LiP4(Br3O)4,Li1 P4 Br12 O4,-1.2949663815192742,0.44010000000000005
mp-1020057,LiLaO2,Li4 La4 O8,-3.1703738514583337,3.7336
mp-757974,LiSn(PO3)4,Li4 Sn4 P16 O48,-2.4561084746891533,0.0
mp-755646,LiCuO,Li2 Cu2 O2,-1.336002465277777,0.6463999999999999
mp-776546,LiFe2OF5,Li3 Fe6 O3 F15,-2.5237695466666654,2.1765
mp-755438,LiFe2O2F3,Li2 Fe4 O4 F6,-2.3261603169791663,1.1486
mp-1192145,LiGaH4,Li4 Ga4 H16,-0.16771606203372968,4.6818
mp-1027832,LiMg14Cu,Li1 Mg14 Cu1,0.030631446822916963,0.0
mp-1110835,K2LiSbF6,K2 Li1 Sb1 F6,-2.896441173283333,4.1086
mp-504103,Li(WO2)2,Li2 W4 O8,-1.8047266533333328,0.0
mp-1211093,LiCaFeF6,Li2 Ca2 Fe2 F12,-3.3176890831481476,4.1719
mp-1185343,LiCe3,Li1 Ce3,0.2648316679166669,0.0
mp-26727,LiVP2O7,Li2 V2 P4 O14,-2.6874158391017304,2.0882
mp-22243,LiNiAsO4,Li4 Ni4 As4 O16,-1.811565513690476,0.0
mp-776378,LiCuBO3,Li9 Cu9 B9 O27,-2.023502790277777,0.0
mp-772977,Ba10LiW7O30,Ba10 Li1 W7 O30,-2.70790949142361,1.4584000000000006
mp-975321,LiSi3,Li2 Si6,0.22342531541666677,0.0
mp-776244,LiV2(PO4)3,Li4 V8 P12 O48,-2.633339140820106,0.002000000000000224
mp-25971,LiMnPO4,Li2 Mn2 P2 O8,-2.5809037887010313,3.2613000000000003
mp-16648,LiSn4Rh,Li2 Sn8 Rh2,-0.3563116297222197,0.0
mp-1035479,RbLiMg14O15,Rb1 Li1 Mg14 O15,-2.7010951588172043,1.2721
mp-1236484,LiBi2As2(PbO5)2,Li1 Bi2 As2 Pb2 O10,-1.656599310784313,0.0
mp-562137,KLiCO3,K4 Li4 C4 O12,-2.187607085930555,4.5495
mp-754581,LiFeF3,Li4 Fe4 F12,-2.7397112226666662,3.3554
