material_id,composition,E_g
mp-1235216,Li1 P4 Br12 O4,0.5519
mp-763425,Li2 Mn4 F14,1.0465
mp-1211135,Li2 Nd2 S4 O16,5.3668
mp-555303,Li2 Er2 P8 O24,5.749499999999999
mp-768922,Li6 V6 B6 O24,0.0
mp-768447,Li2 Mn6 P6 O24,0.0
mp-759397,Li4 Fe8 B8 O24,1.5637
mp-1235127,Li1 P4 Br12 O4,0.4401
mp-1020057,Li4 La4 O8,3.7336
mp-757974,Li4 Sn4 P16 O48,0.0
mp-755646,Li2 Cu2 O2,0.6463999999999999
mp-776546,Li3 Fe6 O3 F15,2.1765
mp-755438,Li2 Fe4 O4 F6,1.1486
mp-1192145,Li4 Ga4 H16,4.6818
mp-1027832,Li1 Mg14 Cu1,0.0
mp-1110835,K2 Li1 Sb1 F6,4.1086
mp-504103,Li2 W4 O8,0.0
mp-1211093,Li2 Ca2 Fe2 F12,4.1719
mp-1185343,Li1 Ce3,0.0
mp-26727,Li2 V2 P4 O14,2.0882
mp-22243,Li4 Ni4 As4 O16,0.0
mp-776378,Li9 Cu9 B9 O27,0.0
mp-772977,Ba10 Li1 W7 O30,1.4584000000000006
mp-975321,Li2 Si6,0.0
mp-776244,Li4 V8 P12 O48,0.0020000000000002
mp-25971,Li2 Mn2 P2 O8,3.2613000000000003
mp-16648,Li2 Sn8 Rh2,0.0
mp-1035479,Rb1 Li1 Mg14 O15,1.2721
mp-1236484,Li1 Bi2 As2 Pb2 O10,0.0
mp-562137,K4 Li4 C4 O12,4.5495
mp-754581,Li4 Fe4 F12,3.3554
mp-754048,Li4 Mn4 B4 O16,0.0
mp-1192746,Li2 As4 H6 O14,3.301
mp-1235087,Li1 V4 Ni2 O12,0.1611000000000002
mp-758496,Li4 Ti4 P16 O48,0.0
mp-1111927,K2 Li1 Cr1 F6,4.1644
mp-14209,Li3 Y3 Ge3,0.0
mp-41701,Li2 Co4 P8 H6 O28,3.1992000000000003
mp-1236192,Li1 Pu2 Te1 O2,0.0
mp-1176712,Li1 Fe7 O7 F1,0.0
mp-33322,Li2 Ho2 Se4,1.5785
mp-763784,Li1 Mn2 F6,0.7874
mp-754742,Li1 Co2 O4,0.0
mp-1020060,Li8 B8 S32 O112,5.51
mp-1236502,Ba2 Li1 Tb1 Ir1 O6,0.0
mp-863386,Li18 Co18 P18 O72,2.8406
mp-939375,Li2 Cu2 P2 O8 F2,0.0
mp-1206373,Li1 Hf1 Se2,0.0
mp-1228761,Ba12 Li3 Ir9 O36,0.0
mp-768774,Li2 Bi8 B6 O22,3.3149
mp-759000,Li2 Fe8 P6 O24,2.9845
mp-26913,Li2 Cr8 P6 O24,2.6339
mp-753223,Li4 V4 Si4 O16,1.5217
mp-12263,Li4 Au4 F16,2.0738
mp-585279,Li16 Mn16 P16 O64,2.7917
mp-1198595,Li2 B12 H20 O4,5.3429
mp-1211144,Li4 Sm24 B12 O56,4.510800000000001
mp-1235433,Li1 Pr2 Pa2 O8,0.0
mp-1111738,Na2 Li1 Tl1 Br6,0.5730999999999999
mp-778739,Li2 Cu10 P4 O16,0.0
mp-776414,Li1 V4 O1 F11,1.0343
mp-1235065,Rb3 Li1 Tb1 V2 O8,1.1275999999999995
mp-863257,Li1 Ga3,0.0
mp-558815,Rb4 Li2 V2 S8,1.5836
mp-26051,Li1 Mo8 P8 O44,2.3855
mp-1021306,Li2 Mg12 B2,0.0
mp-645662,Ba14 Na14 Li1 N6,0.0
mp-755415,Li2 V2 F8,2.0654
mp-758753,Li3 Mn18 O36,0.0
mp-1211749,Li4 Mg12 W12 O48,0.0
mp-1222368,Li1 V1 Mo1 O6,2.7403
mp-755207,Li2 Fe4 O4 F6,1.6633999999999998
mp-867108,Li1 Dy1 Tl2,0.0
mp-776734,Li8 Fe8 F40,0.0
mp-1517398,Li1 Nd1 Mn4 O12,0.0
mp-1276026,Li4 V4 O8,0.0164999999999997
mp-1176692,Li2 Fe2 P2 C2 O14,0.1549999999999999
mp-730585,Li8 B8 H16 O8 F32,7.129
mp-1028052,Li1 Y1 Mg14,0.0
mp-783911,Li12 V24 O12 F60,1.1741999999999997
mp-26297,Li4 V4 P12 O36,2.4931
mp-760512,Li2 Cu2 C2 O6,1.8724
mp-865738,Li1 Pr1 Hg2,0.0
mp-763240,Li2 Co2 Si2 O8,1.0912
mp-774424,Li4 Mn4 V4 O16,1.3694000000000002
mp-6591,Sr2 Li2 Al2 F12,7.3154
mp-775269,Li4 Fe8 B8 O24,0.0
mp-1235944,Ba3 Li1 Ti3 O8,0.0
mp-8412,Li4 Ce4 O8,0.0
mp-3924,Li2 Nb2 O4,1.5794999999999997
mp-673119,Li2 Sn4 P6 O20,3.7549
mp-532767,K6 Li1 Fe24 S26 Cl1,0.0
mp-849747,Li1 Fe8 B8 O24,1.7294999999999998
mp-29463,Li4 Be4 N4,2.0847
mp-1111835,Cs2 Li1 Sb1 Br6,2.3396
mp-1206281,Li2 Al2 Au2,0.0
mp-759865,Li3 V3 Cr3 P6 H6 O30,1.2776
mp-1235867,Ba6 Li1 Nb2 Ir1 Cl2 O12,1.5421999999999998
mp-1235671,Li1 Cu6 O1 F11,0.0
mp-1034187,Li1 Mg14 Ti1 O16,0.0
mp-1207296,Li1 Ho3 S6,0.0
mp-758944,Li4 Bi4 P16 O48,4.2197
mp-756535,Li2 Fe2 F8,4.077500000000001
mp-757559,Li4 Bi4 P8 O28,4.1795
mp-584674,Li4 Co4 P12 O36,3.1495
mp-860961,Li8 Mn8 P8 O32,2.8641
mp-775429,Ba4 Li1 Bi3 O11,0.0
mp-849757,Li4 Mn4 Si16 O40,2.6047
mp-772546,Na10 Li2 Mn4 P4 C4 O28,3.0622000000000003
mp-860888,Li4 Ni4 P12 O36,4.3657
mp-773196,Li2 Co2 C2 S2 O14,0.4382
mp-1176663,Li8 Mn8 P16 O56,0.6491
mp-761188,Li4 V12 Co8 O48,0.2202
mp-753466,Li2 V6 O4 F12,1.2184
mp-1176549,Li2 V6 O12,1.1511
mp-759459,Li2 V2 F8,2.0202
mp-1176654,Li2 Mn2 F8,1.3232
mp-1097641,Li1 Ga1 Ir2,0.0902000000000002
mp-31301,Li2 Sn8 Au6,0.0
mp-766121,Li12 V12 Si12 O48,1.7331999999999996
mp-1025496,Li2 Nb2 Se4,0.7318999999999996
mp-758828,Li4 Cu4 P4 O16,0.1438999999999999
mp-759301,Li2 Co6 O12,1.1138
mp-1235241,Li1 Ti1 H6 O2 F6,0.155
mp-757465,Li4 Fe4 P4 O16,3.3557
mp-765635,Li8 Fe8 P8 O32,3.5322000000000005
mp-1185360,Li1 Mn1 Ir2,0.0
mp-779059,Li2 V8 O10 F14,0.6888
mp-1099313,Li1 Mg6 Ga1,0.0
mp-1176703,Li8 Fe8 P8 O32,3.4391
mp-759071,Li2 Sb2 P8 O24,3.9803
mp-867684,Li4 Ni4 P16 O48,4.0854
mp-1211846,Li4 Nd4 C16 O40,1.0943
mp-556814,Li4 Nd4 Ge4 O16,4.058400000000001
mp-758685,Li4 Fe4 P12 O36,3.6638
mp-1185327,Li1 Dy2 Tl1,0.0
mp-777550,Li4 Fe4 F16,3.1772
mp-1235029,Ba3 Li1 Ti3 O8,0.0
mp-1222324,Li3 Zn3 Ge3,0.0
mp-752878,Li4 Ag8 F16,0.1804999999999998
mp-758519,Li4 Fe4 Si4 O16,2.1733
mp-758914,Rb4 Li4 V4 P4 O20,2.3445
mp-1523057,Li4 Nd4 Gd4 Fe4 O24,0.5916000000000001
mp-757816,Li2 Nb2 P8 O24,0.2860999999999998
mp-540268,Li2 Mo4 P6 O24,1.5276999999999998
mp-977374,Li1 Lu1 Pd2,0.0
mp-982667,Li1 Al2 Os1,0.0
mp-1235302,Li1 Ti2 Zn2 P2 O10,0.0
mp-1176610,Li4 Ni4 P12 O36,4.7568
mp-867162,Li1 Tm2 Rh1,0.0
mp-1222409,Li2 Ga2 B2 H6 O10,4.4692
mp-19251,Rb2 Li2 Cr2 O8,2.7696
mp-771523,Li4 Cr8 O16,0.4290000000000002
mp-851076,Li5 Mn10 B10 O30,0.0189999999999999
mp-1235024,Li1 Nb2 Te4 Cl10 O1,0.0
mp-1013762,Li4 Ti8 P8 O36,0.0425000000000004
mp-1095977,Ba2 Li1 Cd1,0.1151000000000002
