material_id,composition,G_vrh
mp-755646,Li2 Cu2 O2,17.231
mp-975321,Li2 Si6,1.582
mp-16648,Li2 Sn8 Rh2,40.822
mp-14209,Li3 Y3 Ge3,46.996
mp-33322,Li2 Ho2 Se4,31.404
mp-863257,Li1 Ga3,19.567
mp-865738,Li1 Pr1 Hg2,9.986
mp-3924,Li2 Nb2 O4,100.566
mp-29463,Li4 Be4 N4,65.035
mp-31301,Li2 Sn8 Au6,20.244
mp-977374,Li1 Lu1 Pd2,0.971
mp-982667,Li1 Al2 Os1,67.515
mp-862719,Li1 Y2 Os1,34.286
mp-867877,Li1 Cd1 Au2,-11.833
mp-31468,Li4 Ca4 N4,40.787
mp-33363,Li2 Y2 S4,36.134
mp-973058,Li1 Lu2 Al1,35.495
mp-569450,Li2 B12 C2,184.076
mp-865228,Li1 Sc1 Pt2,61.788
mp-973966,Li1 In1 I4 O12,21.039
mp-1021327,K1 Li1 I1 Cl1,8.606
mp-3666,Li2 Ta2 O6,72.113
mp-865870,Li1 Zr2 Os1,47.3
mp-977391,Li1 Nd2 Os1,30.528
mp-12403,Li3 B3 F12,7.539
mp-35591,Li2 Er2 S4,37.776
mp-867222,Li1 Ca2 Ir1,26.111
mp-570379,Cs2 Li1 Lu1 Cl6,9.195
mp-11806,Li1 Mg1 Sn1 Pt1,37.269
mp-867272,Li1 Al1 Cu2,53.421
mp-9919,Li2 Zn2 Sb2,25.849
mp-867829,Li1 V1 Rh2,80.647
mp-865893,Li1 Zr2 Tc1,26.476
mp-977570,Li1 Pr2 Os1,28.583
mp-1001581,Li1 C6,115.671
mp-861951,Li1 Ta1 Rh2,67.999
mp-9918,Li8 Ge8,21.135
mp-865963,Li1 Ga1 Ag2,27.563
mp-867255,Li1 Zn2 Au1,20.303
mp-35388,Li2 Sm2 Se4,27.524
mp-862492,Li1 Er1 Tl2,21.383
mp-867807,Li1 Y1 Tl2,16.305
mp-1025455,Li2 Nb4 O2,2.313
mp-29868,Li1 Au1 C2,25.135
mp-862841,Li1 Pm2 Os1,31.331
mp-977440,Li1 Ti1 Pt2,47.643
mp-10182,Li1 Zn1 P1,51.137
mp-934,Li1 Tl1,-2.521
mp-34993,Li12 Al12 O24,123.673
mp-6179,K2 Li2 S2 O8,20.883
mp-996961,Li2 Au2 O4,17.227
mp-867287,Li1 In1 Au2,20.793
mp-20698,Li2 Co2 As2,30.049
mp-861733,Li1 Te1 Pd2,19.117
mp-1029903,Li4 Nb4 N8,59.002
mp-2724538,Li2 Cu2 S2,20.946
mp-862667,Li1 Ac2 Ge1,20.637
mp-867810,Li1 Y1 Hg2,12.474
mp-13474,Li3 Er3 Ge3,47.51
mp-30764,Li2 Pt4,64.55
mp-10189,Li1 Ti1 Te2,27.015
mp-865940,Li1 Th1 Au2,9.884
mp-15791,Li1 Er1 S2,28.514
mp-989583,Rb2 Li1 In1 Cl6,10.025
mp-754605,Li2 Lu2 O4,69.919
mp-29754,Sr2 Li2 N2,28.446
mp-5840,Li2 Sc2 O4,81.291
mp-38280,Li2 Ti2 O4,122.647
mp-7243,Li1 Sn1 Pd2,25.46
mp-30301,Li4 Cl4 O16,18.037
mp-5920,Li1 Al1 Ge1,50.642
mp-982666,Li1 Al2 Tc1,61.853
mp-865907,Li1 Zn3,2.197
mp-1002069,Na1 Li1 I1 Cl1,11.883
mp-864630,Li1 Mg2 Hg1,22.643
mp-989562,Cs2 Li1 Tl1 F6,8.613
mp-22899,Li1 I1,12.473
mp-973191,Li1 Tl3,7.189
mp-6326,Li12 Al12 Si12 O48,45.755
mp-1009006,Li1 Cd1 As1,3.251
mp-862318,Li1 Al2 Ni1,69.544
mp-961683,Li1 Mg1 P1,4.158
mp-38695,Li2 Tb2 Se4,29.91
mp-20363,Li1 Ga2 Pt1,34.754
mp-4495,K2 Li2 Te2,11.932
mp-982975,Li1 Be1 O3,16.251
mp-2426,Li1 Ag1,18.419
mp-862588,Li1 Dy2 Tc1,31.932
mp-754912,Li1 Cu1 O2,25.035
mp-862312,Li1 Be1 Pd2,56.945
mp-862658,Li1 Cu3,43.619
mp-644419,Li4 H4 S4,6.659
mp-9575,Li2 Be2 Sb2,47.692
mp-2475638,Li2 Be2,27.752
mp-977542,Li1 Tb1 Tl2,17.115
mp-1001831,Li2 B2,22.505
mp-865231,Li1 Sc1 Tl2,22.125
mp-865184,Li1 Sc1 Pd2,-47.071
mp-30057,Li4 C4 N4,8.104
