material_id,composition,K_vrh
mp-755646,Li2 Cu2 O2,28.615
mp-975321,Li2 Si6,40.544
mp-16648,Li2 Sn8 Rh2,63.729
mp-14209,Li3 Y3 Ge3,59.504
mp-33322,Li2 Ho2 Se4,46.754
mp-863257,Li1 Ga3,39.269
mp-865738,Li1 Pr1 Hg2,47.688
mp-3924,Li2 Nb2 O4,156.667
mp-29463,Li4 Be4 N4,92.715
mp-31301,Li2 Sn8 Au6,62.451
mp-977374,Li1 Lu1 Pd2,84.798
mp-982667,Li1 Al2 Os1,136.0
mp-862719,Li1 Y2 Os1,80.346
mp-867877,Li1 Cd1 Au2,73.965
mp-31468,Li4 Ca4 N4,69.668
mp-33363,Li2 Y2 S4,53.265
mp-973058,Li1 Lu2 Al1,54.59
mp-569450,Li2 B12 C2,196.324
mp-865228,Li1 Sc1 Pt2,116.125
mp-973966,Li1 In1 I4 O12,29.761
mp-1021327,K1 Li1 I1 Cl1,15.287
mp-3666,Li2 Ta2 O6,121.383
mp-865870,Li1 Zr2 Os1,134.753
mp-977391,Li1 Nd2 Os1,73.027
mp-12403,Li3 B3 F12,14.836
mp-35591,Li2 Er2 S4,53.745
mp-867222,Li1 Ca2 Ir1,48.032
mp-570379,Cs2 Li1 Lu1 Cl6,19.84
mp-11806,Li1 Mg1 Sn1 Pt1,86.934
mp-867272,Li1 Al1 Cu2,87.133
mp-9919,Li2 Zn2 Sb2,46.251
mp-867829,Li1 V1 Rh2,179.191
mp-865893,Li1 Zr2 Tc1,117.351
mp-977570,Li1 Pr2 Os1,70.817
mp-1001581,Li1 C6,150.185
mp-861951,Li1 Ta1 Rh2,185.431
mp-9918,Li8 Ge8,39.993
mp-865963,Li1 Ga1 Ag2,66.916
mp-867255,Li1 Zn2 Au1,80.793
mp-35388,Li2 Sm2 Se4,43.726
mp-862492,Li1 Er1 Tl2,43.284
mp-867807,Li1 Y1 Tl2,41.8
mp-1025455,Li2 Nb4 O2,112.151
mp-29868,Li1 Au1 C2,50.028
mp-862841,Li1 Pm2 Os1,74.575
mp-977440,Li1 Ti1 Pt2,148.971
mp-10182,Li1 Zn1 P1,63.12
mp-934,Li1 Tl1,26.903
mp-34993,Li12 Al12 O24,153.169
mp-6179,K2 Li2 S2 O8,36.141
mp-996961,Li2 Au2 O4,56.84
mp-867287,Li1 In1 Au2,76.048
mp-20698,Li2 Co2 As2,48.848
mp-861733,Li1 Te1 Pd2,94.385
mp-1029903,Li4 Nb4 N8,110.992
mp-2724538,Li2 Cu2 S2,25.653
mp-862667,Li1 Ac2 Ge1,38.715
mp-867810,Li1 Y1 Hg2,52.184
mp-13474,Li3 Er3 Ge3,59.851
mp-30764,Li2 Pt4,135.254
mp-10189,Li1 Ti1 Te2,35.309
mp-865940,Li1 Th1 Au2,83.821
mp-15791,Li1 Er1 S2,50.021
mp-989583,Rb2 Li1 In1 Cl6,20.952
mp-754605,Li2 Lu2 O4,114.047
mp-29754,Sr2 Li2 N2,54.044
mp-5840,Li2 Sc2 O4,118.79
mp-38280,Li2 Ti2 O4,170.849
mp-7243,Li1 Sn1 Pd2,108.005
mp-30301,Li4 Cl4 O16,30.023
mp-5920,Li1 Al1 Ge1,55.853
mp-982666,Li1 Al2 Tc1,115.85
mp-865907,Li1 Zn3,56.751
mp-1002069,Na1 Li1 I1 Cl1,20.106
mp-864630,Li1 Mg2 Hg1,42.537
mp-989562,Cs2 Li1 Tl1 F6,33.191
mp-22899,Li1 I1,19.889
mp-973191,Li1 Tl3,26.317
mp-6326,Li12 Al12 Si12 O48,114.023
mp-1009006,Li1 Cd1 As1,46.662
mp-862318,Li1 Al2 Ni1,103.846
mp-961683,Li1 Mg1 P1,49.919
mp-38695,Li2 Tb2 Se4,46.042
mp-20363,Li1 Ga2 Pt1,103.688
mp-4495,K2 Li2 Te2,19.903
mp-982975,Li1 Be1 O3,112.446
mp-2426,Li1 Ag1,41.392
mp-862588,Li1 Dy2 Tc1,68.896
mp-754912,Li1 Cu1 O2,109.67
mp-862312,Li1 Be1 Pd2,124.471
mp-862658,Li1 Cu3,92.453
mp-644419,Li4 H4 S4,21.647
mp-9575,Li2 Be2 Sb2,56.099
mp-2475638,Li2 Be2,34.988
mp-977542,Li1 Tb1 Tl2,42.072
mp-1001831,Li2 B2,125.064
mp-865231,Li1 Sc1 Tl2,44.718
mp-865184,Li1 Sc1 Pd2,91.829
