material_id,formula_pretty,composition,K_vrh,G_vrh
mp-755646,LiCuO,Li2 Cu2 O2,28.615,17.231
mp-975321,LiSi3,Li2 Si6,40.544,1.582
mp-16648,LiSn4Rh,Li2 Sn8 Rh2,63.729,40.822
mp-14209,LiYGe,Li3 Y3 Ge3,59.504,46.996
mp-33322,LiHoSe2,Li2 Ho2 Se4,46.754,31.404
mp-863257,LiGa3,Li1 Ga3,39.269,19.567
mp-865738,LiPrHg2,Li1 Pr1 Hg2,47.688,9.986
mp-3924,LiNbO2,Li2 Nb2 O4,156.667,100.566
mp-29463,LiBeN,Li4 Be4 N4,92.715,65.035
mp-31301,LiSn4Au3,Li2 Sn8 Au6,62.451,20.244
mp-977374,LiLuPd2,Li1 Lu1 Pd2,84.798,0.971
mp-982667,LiAl2Os,Li1 Al2 Os1,136,67.515
mp-862719,LiY2Os,Li1 Y2 Os1,80.346,34.286
mp-867877,LiCdAu2,Li1 Cd1 Au2,73.965,-11.833
mp-31468,LiCaN,Li4 Ca4 N4,69.668,40.787
mp-33363,LiYS2,Li2 Y2 S4,53.265,36.134
mp-973058,LiLu2Al,Li1 Lu2 Al1,54.59,35.495
mp-569450,LiB6C,Li2 B12 C2,196.324,184.076
mp-865228,LiScPt2,Li1 Sc1 Pt2,116.125,61.788
mp-973966,LiIn(IO3)4,Li1 In1 I4 O12,29.761,21.039
mp-1021327,KLiICl,K1 Li1 I1 Cl1,15.287,8.606
mp-3666,LiTaO3,Li2 Ta2 O6,121.383,72.113
mp-865870,LiZr2Os,Li1 Zr2 Os1,134.753,47.3
mp-977391,LiNd2Os,Li1 Nd2 Os1,73.027,30.528
mp-12403,LiBF4,Li3 B3 F12,14.836,7.539
mp-35591,LiErS2,Li2 Er2 S4,53.745,37.776
mp-867222,LiCa2Ir,Li1 Ca2 Ir1,48.032,26.111
mp-570379,Cs2LiLuCl6,Cs2 Li1 Lu1 Cl6,19.84,9.195
mp-11806,LiMgSnPt,Li1 Mg1 Sn1 Pt1,86.934,37.269
mp-867272,LiAlCu2,Li1 Al1 Cu2,87.133,53.421
mp-9919,LiZnSb,Li2 Zn2 Sb2,46.251,25.849
mp-867829,LiVRh2,Li1 V1 Rh2,179.191,80.647
mp-865893,LiZr2Tc,Li1 Zr2 Tc1,117.351,26.476
mp-977570,LiPr2Os,Li1 Pr2 Os1,70.817,28.583
mp-1001581,LiC6,Li1 C6,150.185,115.671
mp-861951,LiTaRh2,Li1 Ta1 Rh2,185.431,67.999
mp-9918,LiGe,Li8 Ge8,39.993,21.135
mp-865963,LiGaAg2,Li1 Ga1 Ag2,66.916,27.563
mp-867255,LiZn2Au,Li1 Zn2 Au1,80.793,20.303
mp-35388,LiSmSe2,Li2 Sm2 Se4,43.726,27.524
mp-862492,LiErTl2,Li1 Er1 Tl2,43.284,21.383
