material_id,composition,log_sigma
2,Li2.00 O1.00 H1.00 Br1.00,-6.26760624
3,Li2.40 O0.60 H0.60 Cl1.00,-7.050609993
4,Li2.10 O0.90 H0.90 Cl1.00,-7.09420412
5,Li2.00 O1.00 H1.00 Cl1.00,-7.148130399
6,Li2.70 O0.30 H0.30 Cl1.00,-8.13667714
8,Li6.00 P1.00 O5.00 Cl1.00,-9
17,Li7.00 La3.00 Zr2.00 O12.00,-3.2915791
18,Li3.40 Si0.40 P0.60 S4.00,-3.193820026
20,Li7.06 La3.00 Zr1.94 Y0.06 O12.00,-3.019542108
21,Li6.40 Al0.19 La3.00 Zr2.00 O11.80,-3.508638306
22,La0.57 Li0.29 Ti1.00 O3.00,-2.795880017
23,Li6.50 La3.00 Zr1.75 Te0.25 O12.00,-3.972242795
24,Li7.00 La3.00 Zr2.00 O12.00,-5.787812396
25,Li9.60 P3.00 S12.00,-2.801342913
26,Li1.30 Al0.30 Ti1.70 P3.00 O12.00,-2.207608311
27,Li1.30 Al0.30 Ti1.70 P3.00 O12.00,-2.91721463
29,Li1.20 Ti1.80 Sc0.20 P3.00 O12.00,-3.63638802
30,Li1.60 Al0.60 Ge0.80 P3.00 O12.00,-3.15490196
31,Li6.55 La3.00 Zr2.00 Ga0.90 O12.00,-2.886056648
35,Li1.00 Ti2.00 P3.00 O12.00,-6.416801226
36,Li9.54 Si1.74 P1.44 S11.70 Cl0.30,-1.602059991
37,Li10.00 Ge1.00 P2.00 S12.00,-2.692503962
39,Li7.00 P3.00 S11.00,-2.494850022
40,Li1.40 Al0.40 Ti1.60 P3.00 O12.00,-2.249491605
41,Li6.46 Al0.15 La3.00 Zr1.95 O11.86,-4.080921908
44,Li3.25 Ge0.25 P0.75 S4.00,-2.692503962
45,Li6.50 La2.90 Ba0.10 Zr1.40 Ta0.60 O12.00,-3.080921908
46,Li6.50 La3.00 Zr1.50 Ta0.50 O12.00,-3.100179498
60,La0.55 Li0.36 Ti0.99 Al0.01 O3.00,-3.184422252
